"chr","phenotype","gene","SKAT","BT","SKAT.O","SKAT.d","BT.d"
12,"log_LDL","PXN",9.5175109626866e-05,0.0717793868814406,0.000227763270391534,6.64322457826993e-05,0.0436517023995754
11,"log_LDL","TRPM5",0.000132201733961335,0.869592071972906,0.000246880044058373,0.000133040941065513,0.99629875877596
17,"log_LDL","C17orf50",0.000221283763880198,0.000191674250535488,0.000150302540694591,0.000183890470883835,0.108633815339879
1,"log_LDL","FCRLB",0.000282798736855217,0.0122136953027502,0.000567496467415052,0.000251500067891972,0.122191286384957
3,"log_LDL","C3orf35",0.00038106888365419,0.0648506274896297,0.000798927764854573,0.000298984498589224,0.0795090995547695
22,"log_LDL","RANBP1",0.000401950929998507,0.00778309105729215,0.000757154643651226,0.000502108994368845,0.993224203754971
11,"log_LDL","CCDC85B",0.000919613975899569,0.252876734723163,0.00174491981276403,0.000722162771931397,0.00168331445065732
1,"log_LDL","TRIM62",0.00121610458592725,0.00288081811963123,0.00153642689101952,0.00113617812390308,0.265443634582392
16,"log_LDL","MT1F",0.00120200979235352,0.0255482088387436,0.00236054869675539,0.00114971814871714,0.325948444105564
4,"log_LDL","BANK1",0.00119790026462185,0.013528852885777,0.00184580202316709,0.00116605840967133,0.675056745556153
7,"log_LDL","UPP1",0.00141743807991934,0.00183242864403315,0.00133901914634715,0.0013336070637328,0.650938210212646
10,"log_LDL","WDR11",0.00175314113859038,0.0657984166316461,0.00366159546009048,0.00141927129267786,0.0143372153683763
11,"log_LDL","ZNF214",0.00153566560257878,0.978497741669408,0.00302729151855363,0.00149931911584259,0.775852117346302
19,"log_LDL","FPR2",0.00173720205912198,0.00148264562135967,0.00153676190666974,0.00151597954035336,0.0990474266998475
1,"log_LDL","TRIM46",0.00190866904982812,0.00640536410878056,0.00301671807448844,0.00163079761449557,0.000590561291412961
16,"log_LDL","DRC7",0.00160664171142355,0.00766198078900009,0.00210727127059063,0.00171216591120708,0.952645231748124
15,"log_LDL","PARP16",0.00198087229293409,0.00440252512566818,0.00231408670575273,0.00185370278783668,0.632811822738381
15,"log_LDL","IGF1R",0.00206080360506555,0.749324484771296,0.00439922289385752,0.00196618715318007,0.510445216378764
10,"log_LDL","CLRN3",0.00236485901787886,0.247767763944985,0.00475653662649644,0.00207644466728593,0.154747113918975
3,"log_LDL","ANKRD28",0.00247241456798108,0.366797856633048,0.00489936099666266,0.00207671432151751,0.0156563322661651
1,"log_LDL","TNR",0.00281767055938409,0.00250015773374435,0.00209170308157181,0.0020894682511391,0.0297517009306263
16,"log_LDL","RANBP10",0.00229156015569143,0.044815592101822,0.0039697682277744,0.00240175933234885,0.832494110891942
2,"log_LDL","KLF11",0.00267283616814673,0.17933679249356,0.00534557909673661,0.00245661063708592,0.0437676499826746
8,"log_LDL","HTRA4",0.00255949071270622,0.0423300869477291,0.00429751151860569,0.00246257196722315,0.000261883174657115
2,"log_LDL","FSHR",0.00240574473298061,0.294937460775924,0.00441630671324544,0.00249334628931478,0.74599584330927
5,"log_LDL","SLU7",0.00267227097594969,0.0826261413252295,0.00373409742643083,0.00256317483837394,0.568439715077303
1,"log_LDL","FBXO42",0.00263552665041444,0.190606737747311,0.00479922114576947,0.0025985462451567,0.43989742140123
2,"log_LDL","GKN2",0.0027550437835957,0.00915590072623028,0.00406692611208281,0.00266893656165373,0.34420563701219
1,"log_LDL","PTGS2",0.0030516262204241,0.726825358345641,0.00575659661186145,0.00271869668732373,0.00308604215052277
