"chr","phenotype","gene","SKAT","BT","SKAT.O","SKAT.d","BT.d"
19,"log_LDL","APOE",2.01821029347142e-51,1.14707054477021e-29,1.41274720543e-50,1.08836265526413e-52,1.67708140766051e-49
1,"log_LDL","PCSK9",2.15510464912602e-33,1.24446006618564e-12,1.49704876905561e-32,7.75303067787143e-34,0.00370680148814092
19,"log_LDL","TOMM40",1.08618465963821e-22,5.64138242127065e-09,7.07513487811503e-22,7.79441290757229e-23,4.29419098452961e-21
1,"log_LDL","MYBPHL",5.16834776354096e-09,8.60211627114249e-06,1.45673484386322e-08,2.92532313240447e-09,3.20818650667944e-08
10,"log_LDL","KAZALD1",3.79145675420967e-05,0.0487605895995998,7.78786866219017e-05,3.02587632758856e-05,0.999909767418437
11,"log_LDL","SIK3",8.46224335582235e-05,0.00104393263642861,0.000124248682194961,5.11863997107096e-05,0.0380500476491769
14,"log_LDL","DICER1",0.000107471533740688,0.279509840709414,0.000186701083414453,6.35900998268392e-05,5.35004242952838e-05
4,"log_LDL","MFSD10",0.000116520475375914,1.00964049504212e-05,1.15253367901635e-05,8.45854162332088e-05,0.00332592350670204
19,"log_LDL","CCDC9",9.05363648630031e-05,0.000298021479614487,0.000132864731847149,8.57465914835207e-05,0.503408989509536
19,"log_LDL","DCAF15",0.000168557126711821,0.00827774486985481,0.000321640445138605,0.000103783065557105,0.00265578475894159
4,"log_LDL","ANP32C",0.000153645495840626,0.00234924661897578,0.000157807917723574,0.000141727456527429,0.258996985655423
19,"log_LDL","CLPTM1",0.000193201639257956,0.0395998088222091,0.000395185084329563,0.000151694793805335,0.018624090613435
14,"log_LDL","CLMN",0.000184845979709136,0.00120341130511982,0.000265169311008173,0.000151749870913492,0.0710794548649744
19,"log_LDL","BCAM",0.000288491171403837,0.290570869258002,0.000441857895153275,0.000192012408408285,6.1822236923105e-05
1,"log_LDL","DAB1",0.000217098689985429,0.0480054424955674,0.000400520620451816,0.000195432660628046,0.999198439626355
16,"log_LDL","ITGAX",0.000324765540901217,0.00200440459208844,0.000367716463885115,0.000263794299529611,0.000105643701910708
14,"log_LDL","PCNXL4",0.00035530525855032,0.000355750943795982,0.000265170297882977,0.000268290315240804,0.397314704181627
4,"log_LDL","NOP14",0.000500621292829573,0.131175140959547,0.000770115751322797,0.00036271295729021,0.0475589104999064
2,"log_LDL","MROH2A",0.000375284176191037,0.0616454579382652,0.000875804792236923,0.000370676042347895,0.920195536000378
11,"log_LDL","PHLDB1",0.00040101917155333,0.0552007651077287,0.000911132189163277,0.000374722140925877,0.824373041983509
2,"log_LDL","NBAS",0.000471063189313559,0.650718723755066,0.00099178745485895,0.000416428583263271,0.873699064664055
22,"log_LDL","PKDREJ",0.000808749973592704,0.0122438256685457,0.000991244212421027,0.000595064491909443,0.825590341028053
21,"log_LDL","RSPH1",0.000848356927727112,0.331236811818327,0.00120483240166458,0.000700182357005552,0.256108421821976
4,"log_LDL","AMBN",0.000915115422086221,0.00174898171567308,0.000942757868359623,0.000761030551576033,0.00135778159225791
2,"log_LDL","UGT1A7",0.0010077059447986,0.0275668294130495,0.00157335288064808,0.00079280214317628,0.0204576737375849
19,"log_LDL","C19orf66",0.000881265747382232,0.00137000050013579,0.000920619772398545,0.000812033830118445,1
21,"log_LDL","UMODL1",0.00105744546267672,0.015755721891546,0.00158250523285064,0.000815058533076314,0.997969619194009
19,"log_LDL","AP1M2",0.000865890185578921,0.0163486133119094,0.0016777593500602,0.000847878087114456,0.219836763709922
16,"log_LDL","ATP2C2",0.00108507394648727,0.454555658406493,0.00168274797414569,0.000851974144231114,0.537191361038364
10,"log_LDL","LZTS2",0.00108146021884792,0.00324811502282362,0.00135679127108013,0.000915369370837541,0.362703694464373
2,"log_LDL","APOB",0.00138822146018414,0.783077025286237,0.00288151617092891,0.000977278279713424,0.00467683148105973
19,"log_LDL","ZNF574",0.00109702851981575,0.00150687313349835,0.00110013969838663,0.00107059836185614,1
17,"log_LDL","GNA13",0.00101934976274998,0.000221111120492274,0.000301355778530299,0.00108927098999074,0.998543882242748
1,"log_LDL","PER3",0.0012551425469618,0.215981294537748,0.0024900241234812,0.00113562672589904,0.954677528358247
